"LD1_TIP";"LD1_VOL";"LD1_SEQ";"LD1_DSN";"LD1_FLG";"LD1_CRDT";"LD1_EXDT";"LD1_CRID";"LD1_DIAS";"LD1_URET";"LD1_FILLER";"LD1_DEVC";"LD1_DEVN";"LD1_DSC";"LD1_FSQ";"LD1_VSQ";"FILLER_X_100"
"0x10";"GF0153";"0x0001";"TESTE.SCRXCF.GFSA.F027                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010155522F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0154";"0x0001";"TESTE.SCRXCF.GFSA.F028                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010160339F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0155";"0x0001";"TESTE.SCRXCF.GFSB.F030                      ";"0x00";"0x0116187F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010173342F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0161";"0x0002";"F.BLP.TESTE.F002                            ";"0x00";"0x0114142F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000200010000";"0x0000";"IC";"0xC5C2D3D74040C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010162524F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0161";"0x0002";"F.BLP.TESTE.F003                            ";"0x00";"0x0114142F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000200010000";"0x0000";"IC";"0xC5C2D3D74040C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010162649F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0166";"0x0001";"TESTE.SCRXCF.PTF.GFSB.F001                  ";"0x00";"0x0116197F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010152646F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0167";"0x0001";"TESTE.SCRXCF.PTF.GFSA.F001                  ";"0x00";"0x0116197F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010153421F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0168";"0x0001";"TESTE.SCRXCF.PTF.GFSB.F002                  ";"0x00";"0x0116197F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010154116F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0004";"F.D301.DSNDB2.DBD01.D2012219.H135703        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000400010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0007";"F.D301.DSNDB2.DBD01.D2012219.H141850        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000700010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x000A";"F.D301.DSNDB2.DBD01.D2012219.H144005        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000A00010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x000D";"F.D301.DSNDB2.DBD01.D2012219.H150039        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000D00010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0010";"F.D301.DSNDB2.DBD01.D2012219.H183002        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000001000010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0005";"F.D301.DSNDB2.SCT02.D2012219.H135752        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000500010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0008";"F.D301.DSNDB2.SCT02.D2012219.H141951        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000800010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x000B";"F.D301.DSNDB2.SCT02.D2012219.H144046        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000B00010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x000E";"F.D301.DSNDB2.SCT02.D2012219.H150123        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000E00010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0011";"F.D301.DSNDB2.SCT02.D2012219.H183048        ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000001100010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0235";"0x0003";"F.D301.DSNDB2.SYSUTILX.D2012219.H135614     ";"0x00";"0x0112219F000000";"0x0F000C270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000300010000";"0x0000";"DS";"0xD5E4E3C9D340C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010000000F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
